time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-03-01T07:25:24.667Z,64.0852,-22.0062,10,4.5,mb,,162,0.727,1.05,us,us7000dg08,2021-05-13T22:39:10.040Z,"1 km SSE of Álftanes, Iceland",earthquake,4.6,1.9,0.272,4,reviewed,us,us
2021-03-01T01:31:41.542Z,64.1036,-22.1816,10,4.8,mb,,114,0.745,0.69,us,us7000deg9,2021-05-13T22:38:35.040Z,"8 km W of Álftanes, Iceland",earthquake,6.7,1.9,0.042,176,reviewed,us,us
2021-02-28T19:01:37.254Z,63.9516,-22.03,10,4.6,mb,,112,0.855,1.26,us,us7000dee1,2021-05-13T22:38:05.040Z,"13 km SSW of Hafnarfjörður, Iceland",earthquake,6.4,1.9,0.066,69,reviewed,us,us
2021-02-28T16:29:57.473Z,64.0167,-21.9792,10,4.3,mb,,134,0.786,0.84,us,us7000deqv,2021-05-13T22:37:57.040Z,"5 km SSW of Hafnarfjörður, Iceland",earthquake,2.7,1.9,0.105,26,reviewed,us,us
2021-02-28T11:32:29.507Z,64.0363,-21.6833,10,4.2,mb,,141,0.73,0.88,us,us7000dfj9,2021-05-13T22:37:32.040Z,"12 km ESE of Hafnarfjörður, Iceland",earthquake,6.3,1.9,0.175,9,reviewed,us,us
2021-02-28T00:19:16.296Z,64.066,-22.15,10,4.6,mb,,113,0.772,0.64,us,us7000de8w,2021-05-13T22:37:00.040Z,"7 km WSW of Álftanes, Iceland",earthquake,5.7,1.9,0.075,53,reviewed,us,us
2021-02-27T08:07:46.777Z,64.044,-22.1455,10,5.2,mww,,98,0.79,0.53,us,us7000de48,2021-05-13T22:36:12.040Z,"8 km SW of Álftanes, Iceland",earthquake,6.4,1.9,0.054,33,reviewed,us,us
2021-02-26T22:38:46.887Z,64.1194,-21.7534,10,4.8,mb,,52,0.657,0.76,us,us7000de17,2021-05-13T22:35:48.040Z,"5 km SSW of Mosfellsbær, Iceland",earthquake,6,1.8,0.031,319,reviewed,us,us
2021-02-26T16:48:32.793Z,64.007,-22.0571,10,4.2,mb,,137,0.808,0.72,us,us7000ddyv,2021-05-13T22:35:34.040Z,"8 km SW of Hafnarfjörður, Iceland",earthquake,4.8,1.9,0.141,14,reviewed,us,us
2021-02-26T13:51:56.755Z,64.0693,-22.1371,10,4.2,mb,,100,0.766,0.43,us,us7000de2v,2021-05-13T22:35:21.040Z,"6 km WSW of Álftanes, Iceland",earthquake,6.5,1.6,0.176,9,reviewed,us,us
2021-02-26T12:24:15.094Z,64.0753,-21.9369,10,4.3,mb,,119,0.725,0.66,us,us7000df6n,2021-05-13T22:35:15.040Z,"Iceland",earthquake,7.4,1.9,0.153,14,reviewed,us,us
2021-02-26T12:06:50.941Z,64.0312,-21.9342,10,4.5,mb,,111,0.766,0.35,us,us7000ddwa,2021-05-13T22:35:13.040Z,"4 km S of Hafnarfjörður, Iceland",earthquake,6.7,1.9,0.059,85,reviewed,us,us
2021-02-24T12:37:32.054Z,64.0993,-21.8798,10,4.6,mb,,113,0.693,0.44,us,us6000dknk,2021-05-04T14:16:56.040Z,"2 km SE of Kópavogur, Iceland",earthquake,6.4,1.9,0.063,76,reviewed,us,us
2021-02-24T10:52:35.527Z,63.9636,-21.8533,10,4.2,mb,,130,0.819,0.62,us,us7000dem5,2021-05-04T14:16:54.040Z,"12 km SSE of Hafnarfjörður, Iceland",earthquake,3.8,1.9,0.113,22,reviewed,us,us
2021-02-24T10:49:01.612Z,64.0905,-22.5564,10,4.7,mb,,109,0.848,0.86,us,us6000dkmz,2021-05-04T14:16:54.040Z,"5 km ENE of Garður, Iceland",earthquake,5.9,1.9,0.053,108,reviewed,us,us
2021-02-24T10:42:38.138Z,64.0441,-21.7126,10,4.5,mb,,95,0.725,0.67,us,us7000dem6,2021-05-04T14:16:53.040Z,"11 km ESE of Hafnarfjörður, Iceland",earthquake,6.5,1.9,0.083,42,reviewed,us,us
2021-02-24T10:30:47.915Z,64.0182,-22.132,10,4.8,mb,,63,0.811,0.51,us,us6000dkn1,2021-05-04T14:16:52.040Z,"10 km SSW of Álftanes, Iceland",earthquake,6,1.9,0.041,188,reviewed,us,us
2021-02-24T10:28:01.281Z,64.0748,-21.8557,10,4.5,mb,,55,0.713,0.47,us,us6000dkmq,2021-05-04T14:16:52.040Z,"3 km ESE of Garðabær, Iceland",earthquake,6.5,1.9,0.056,93,reviewed,us,us
